pwr_idx,date,time,pwr_amount,plant_idx,pwr_memo
674,2020-01-30,13,0,1,
675,2020-01-30,14,500,1,
676,2020-01-30,15,46900,1,
677,2020-01-30,16,193250,1,
678,2020-01-30,17,221840,1,
679,2020-01-30,18,229940,1,
680,2020-01-30,19,279730,1,
681,2020-01-30,20,287870,1,
682,2020-01-30,21,253350,1,
683,2020-01-30,22,175340,1,
684,2020-01-30,23,109540,1,
685,2020-01-31,1,101170,1,
686,2020-01-31,2,127800,1,
687,2020-01-31,3,115360,1,
688,2020-01-31,4,60820,1,
689,2020-01-31,5,12030,1,
690,2020-01-31,6,780,1,
691,2020-01-31,7,1490,1,
692,2020-01-31,8,1450,1,
693,2020-01-31,9,40,1,
694,2020-01-31,10,0,1,
695,2020-01-31,11,0,1,
696,2020-01-31,12,10,1,
697,2020-01-31,13,60,1,
698,2020-01-31,14,770,1,
699,2020-01-31,15,48220,1,
700,2020-01-31,16,185480,1,
701,2020-01-31,17,199790,1,
702,2020-01-31,18,212650,1,
703,2020-01-31,19,261350,1,
704,2020-01-31,20,269000,1,
705,2020-01-31,21,256290,1,
706,2020-01-31,22,181750,1,
707,2020-01-31,23,106000,1,
708,2020-02-01,1,103970,1,
709,2020-02-01,2,127410,1,
710,2020-02-01,3,108740,1,
711,2020-02-01,4,55750,1,
712,2020-02-01,5,14220,1,
713,2020-02-01,6,640,1,
714,2020-02-01,7,1490,1,
715,2020-02-01,8,1500,1,
716,2020-02-01,9,710,1,
717,2020-02-01,10,0,1,
718,2020-02-01,11,0,1,
719,2020-02-01,12,0,1,
720,2020-02-01,13,20,1,
721,2020-02-01,14,3170,1,
722,2020-02-01,15,82030,1,
723,2020-02-01,16,224720,1,
724,2020-02-01,17,282210,1,
725,2020-02-01,18,359500,1,
726,2020-02-01,19,392350,1,
727,2020-02-01,20,399270,1,
728,2020-02-01,21,367530,1,
729,2020-02-01,22,262900,1,
730,2020-02-01,23,140500,1,
731,2020-02-02,1,108880,1,
732,2020-02-02,2,141300,1,
733,2020-02-02,3,135430,1,
734,2020-02-02,4,104570,1,
735,2020-02-02,5,52030,1,
736,2020-02-02,6,3240,1,
737,2020-02-02,7,1490,1,
738,2020-02-02,8,1500,1,
739,2020-02-02,9,710,1,
740,2020-02-02,10,0,1,
741,2020-02-02,11,40,1,
742,2020-02-02,12,20,1,
743,2020-02-02,13,20,1,
744,2020-02-02,14,3540,1,
745,2020-02-02,15,89990,1,
746,2020-02-02,16,270660,1,
747,2020-02-02,17,294300,1,
748,2020-02-02,18,376940,1,
749,2020-02-02,19,407660,1,
750,2020-02-02,20,410810,1,
751,2020-02-02,21,436810,1,
752,2020-02-02,22,400270,1,
753,2020-02-02,23,259100,1,
754,2020-02-03,1,128170,1,
755,2020-02-03,2,147050,1,
756,2020-02-03,3,142190,1,
757,2020-02-03,4,109110,1,
758,2020-02-03,5,55000,1,
759,2020-02-03,6,5600,1,
760,2020-02-03,7,1490,1,
761,2020-02-03,8,1500,1,
762,2020-02-03,9,700,1,
763,2020-02-03,10,0,1,
764,2020-02-03,11,0,1,
765,2020-02-03,12,10,1,
766,2020-02-03,13,10,1,
767,2020-02-03,14,950,1,
768,2020-02-03,15,28390,1,
769,2020-02-03,16,153750,1,
770,2020-02-03,17,177860,1,
771,2020-02-03,18,272240,1,
772,2020-02-03,19,346840,1,
773,2020-02-03,20,371610,1,
774,2020-02-03,21,383360,1,
775,2020-02-03,22,312110,1,
776,2020-02-03,23,208220,1,
777,2020-02-04,1,123970,1,
778,2020-02-04,2,143990,1,
779,2020-02-04,3,131610,1,
780,2020-02-04,4,102130,1,
781,2020-02-04,5,39170,1,
782,2020-02-04,6,2100,1,
783,2020-02-04,7,1490,1,
784,2020-02-04,8,1700,1,
785,2020-02-04,9,680,1,
786,2020-02-04,10,10,1,
787,2020-02-04,11,0,1,
788,2020-02-04,12,0,1,
789,2020-02-04,13,30,1,
790,2020-02-04,14,4610,1,
791,2020-02-04,15,133160,1,
792,2020-02-04,16,391570,1,
793,2020-02-04,17,419520,1,
794,2020-02-04,18,486050,1,
795,2020-02-04,19,535220,1,
796,2020-02-04,20,612430,1,
797,2020-02-04,21,576160,1,
798,2020-02-04,22,475710,1,
799,2020-02-04,23,269510,1,
800,2020-02-05,1,130600,1,
801,2020-02-05,2,140440,1,
802,2020-02-05,3,137130,1,
803,2020-02-05,4,107820,1,
804,2020-02-05,5,58160,1,
805,2020-02-05,6,12470,1,
806,2020-02-05,7,7960,1,
807,2020-02-05,8,3560,1,
808,2020-02-05,9,730,1,
809,2020-02-05,10,0,1,
810,2020-02-05,11,0,1,
811,2020-02-05,12,10,1,
812,2020-02-05,13,30,1,
813,2020-02-05,14,4650,1,
814,2020-02-05,15,129320,1,
815,2020-02-05,16,367210,1,
816,2020-02-05,17,396550,1,
817,2020-02-05,18,469500,1,
818,2020-02-05,19,538050,1,
819,2020-02-05,20,599340,1,
820,2020-02-05,21,583900,1,
821,2020-02-05,22,483710,1,
822,2020-02-05,23,274660,1,
823,2020-02-06,1,136700,1,
824,2020-02-06,2,138840,1,
825,2020-02-06,3,133670,1,
826,2020-02-06,4,108350,1,
827,2020-02-06,5,65770,1,
828,2020-02-06,6,13130,1,
829,2020-02-06,7,1490,1,
830,2020-02-06,8,1490,1,
831,2020-02-06,9,710,1,
